Year.Grazing,Grazing,Year,Site.ID,AcmAm,AirCa,AloSa,AveFa,BarGr,BlenNa,BriMi,BroEl,BroMi,BroDi,BroHo,BroUp,CasAt,CasCa,CenSp,ChlPo,CicQu,CotCo,CroSe,DesDa,DowBi,DowCu,DowOr,EleAc,EleMa,ElyCa,EroBo,EryCa,EscLo,FesBr,FesPe,GerDi,GlyDe,GraEb,HolVir,HorMa,HypRa,JunBa,JunBu,JunCa,JunPa,LasFr,LasGl,CotCo.1,LayFr,LeoSa,LotPu,LupBi,LytHy,NavLe,NavMe,PilAm,PlagSt,PlagGr,PogZi,PsiBr,RanBo,TriDe,TriDu,TriBi,TriHi,TriEr,TriHy,TriLa,TriVa
2017_Ungrazed,Ungrazed,2017,C2-17,0,0,0.333333333,22.22333333,1.556666667,0,1.776666667,0,0.886666667,4.223333333,31,0,0,2.89,1.333333333,0,2.443333333,0,0.223333333,2.556666667,7.443333333,0,3.666666667,0,8,3.78,2.886666667,16.33333333,0,18.11,9.223333333,0,0,23.78,0,0.556666667,0,0,0.666666667,0,0.666666667,18.44333333,0,0,0,28.11333333,0,0,0.333333333,0,0,0,3.666666667,0.333333333,0.333333333,0.333333333,8,1.11,0,0,0,0,0.333333333,0,0
2015_Ungrazed,Ungrazed,2015,C2-18,0,0,0,19,7.443333333,0,7.666666667,0,0.553333333,11.11,6.22,0,0.556666667,0,0.223333333,0,0,0,0.333333333,4.556666667,0,0,0,0,0,0.223333333,42.33666667,3,0,24.77666667,0,0,0,0,0,0.333333333,0,0,4.556666667,0,0,0.333333333,0,0,0.11,24.77666667,0,0,0,0,0,0,0,15,0.443333333,0,0,0,0,0,0,0,0,0,0
2016_Ungrazed,Ungrazed,2016,C2-18,0,0,0,10.44333333,8.333333333,0,12.44333333,0,0,1.11,1.11,0,0.89,0.666666667,0,0,0.22,0,0.223333333,0,0.223333333,0,0,0,3.11,3.113333333,55.77666667,0.556666667,0,19,0,0,0,3.11,0,0,0,0,3.333333333,3.776666667,0,0.223333333,0,0,0,53,0,0,0,0,0,0.333333333,17.89,0,0.333333333,0,0,0.556666667,0,0,0,0,0.22,0,0
2017_Ungrazed,Ungrazed,2017,C2-18,0,0,0,7.22,1.556666667,0,4.11,0,5.113333333,0.443333333,16.33333333,0,0,0,0.443333333,0,5,0,0,20.22333333,0,2.333333333,1,0,0,12.11,2.776666667,10.33333333,0,64.44333333,0.333333333,0,0,12.55666667,0,1.556666667,0,0,6.78,2.333333333,7.776666667,0,0,0,0,38.66666667,0,0,0,0,0,0,0,0,1.443333333,0,2.333333333,0,0.333333333,0,0,0,0,0,0
2015_Ungrazed,Ungrazed,2015,C2-19,0,0,4.776666667,15.66666667,7.11,0,3.22,0,0.89,21.44333333,11.55666667,0,0,0.223333333,1.443333333,0,0,0,0.223333333,5.666666667,0,0,0,0,4.89,1.223333333,20.66666667,6.11,0,5.223333333,2.11,0,0,1.333333333,0,1.553333333,0,0,0,1.556666667,0,14.89,0,0,0,14.11,0,0.333333333,1.556666667,0,0,0,0.666666667,0,1.333333333,0,2.11,0,0,0,0,0,0,0,0
2016_Ungrazed,Ungrazed,2016,C2-19,0,0,0,1.22,1.666666667,0,7.666666667,0,0,20.11,10.11333333,0,0,0.443333333,0,0,0,0,0,0.11,0,0.11,0,0,6.446666667,0.666666667,16.33333333,12.77666667,0,7.333333333,0,0,0,7.443333333,0,0,0,0.223333333,0.11,2.223333333,0,13.78,0,0,1.11,33.55333333,0,0,0,0,0,0.666666667,2.333333333,0.11,0,2.666666667,0,0,0,0,0,0,0,0,0
2017_Ungrazed,Ungrazed,2017,C2-19,0,0,1.443333333,25.22333333,0,0,7.776666667,0,0.553333333,2.223333333,18.66666667,0,0,7.11,0.666666667,0,3,0,0,12.77666667,0,2.556666667,0,0,8,1.666666667,19.22333333,14.44333333,0,38.33333333,0,0,0,1.333333333,0,0,0,0,1.443333333,0.776666667,0,35.44333333,0,0,0.223333333,39.55333333,0,0,2.776666667,0,0,0,2,0,0,0,4.556666667,0,0,0,0,0,0,0,0
2015_Ungrazed,Ungrazed,2015,C3-12,0,0,0,24.77666667,7.446666667,0,2.113333333,0,0.663333333,0,1.776666667,0,0.11,0,0.443333333,0,0,0,0.11,0.223333333,0,0,0,0,0,0,64.33333333,0,0,14,0,0,0,0,0,0,0,0,6.89,0,0,0,0,0,0,22.77666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0
2016_Ungrazed,Ungrazed,2016,C3-12,0,0,0,39.22,6.89,0,6,0,0,0,0.556666667,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,61.77666667,0,0,20.22,0,0,0,0,0,0,0,0,0,11.33333333,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.776666667,0,0
2017_Ungrazed,Ungrazed,2017,C3-12,0,0,0,11.11,1.666666667,0,14.66666667,0.666666667,0,1.333333333,31.22333333,0,0,0,2.776666667,0,5.776666667,0,0,0,0,0,0,0,0,0,15.44333333,0.333333333,0,46.55666667,0,0,0,0,0,0,0,0,23.33333333,17.89,0,0,0,0,0,55.66333333,0,0,0,0.223333333,0,0,0,0,2.223333333,1.223333333,0,0,0,0,0.333333333,0,4.333333333,0.776666667,0
2015_Ungrazed,Ungrazed,2015,C3-13,0,0,0,11.89,3.443333333,0,0.11,0,0.333333333,23.66666667,4.333333333,0,0,0,0.223333333,0,0,0,0,10.66666667,0,0,0.666666667,0,0,0,30.44333333,6.11,0,10.44666667,0,0,0,0,0,6.223333333,0,0,0,0,0,17,0,0,0,24.11333333,0,0,0.11,0.89,0,0,0,0,0,1.223333333,0,0,0,0,0,0,0,0,0
2016_Ungrazed,Ungrazed,2016,C3-13,0,0,0,7.666666667,14.33333333,0,2.89,0,0,1.776666667,1.333333333,0,0,0,1.666666667,0,0.223333333,0,0,0,0.11,0,0,0,0,0.223333333,44.33333333,6.223333333,0,18.44666667,0,0,0,0,0,0,0,0.11,3,4.666666667,0,18.66666667,0,2.666666667,0,34.33333333,0,0.666666667,0.556666667,0,0,0,4.886666667,0,0.776666667,0,0,0,0,0,0,0,0.333333333,0,0.11
2017_Ungrazed,Ungrazed,2017,C3-13,0,0,0.666666667,26.66666667,0.553333333,0,3.78,0,0.443333333,7.776666667,3.89,0,0,0,4,0,1.556666667,0,0.11,31.44333333,0,0,10,0,0,0,12.22333333,10.44333333,0,15.66666667,0,0,0,0.11,0,6.89,0,0,0,17.22333333,0,2.89,0,0,28.44333333,46.22333333,0,0,2,0,0,0,3.666666667,0,7.113333333,0.776666667,8,0,0,0,0.556666667,0.11,0,0,0
2015_Grazed,Grazed,2015,C3-17,0,0,0,7,7.11,0,2.89,0,2.22,0,15.11,0,0.11,0,2.223333333,0,1.556666667,0,0.333333333,3.11,0.11,0,0,0,0,0.556666667,22.11,12,0,5.776666667,1.333333333,0,0,3.666666667,0,6.11,0,0,3.443333333,0,0,0,1.556666667,0,0,51.66666667,0,0,7.89,0,0,0,0,0,1.333333333,1.443333333,0.333333333,0,0,0,0.443333333,0,0.333333333,0,0
